,0,1
657,448.4,7.1
658,448.4,7.22
659,448.4,7.34
660,448.4,7.46
661,448.4,7.58
662,448.4,7.7
663,448.4,7.82
664,448.4,7.94
665,448.4,8.06
666,448.4,8.18
667,448.4,8.3
668,448.4,8.42
669,448.4,8.54
670,448.4,8.66
671,448.4,8.78
672,448.4,8.9
673,448.4,9.02
674,448.4,9.14
675,448.4,9.26
676,448.4,9.38
677,448.4,9.5
678,448.4,9.62
679,452.1,4.1
680,452.1,4.22
681,452.1,4.34
682,452.1,4.46
683,452.1,4.58
684,452.1,4.7
685,452.1,4.82
686,452.1,4.94
687,452.1,5.06
688,452.1,5.18
689,452.1,5.3
690,452.1,5.42
691,452.1,5.54
692,452.1,5.66
693,452.1,5.78
694,452.1,5.9
695,452.1,6.02
696,452.1,6.14
697,452.1,6.26
698,452.1,6.38
699,452.1,6.5
700,452.1,6.62
701,452.1,6.74
702,452.1,6.86
703,452.1,6.98
704,452.1,7.1
705,452.1,7.22
706,452.1,7.34
707,452.1,7.46
708,452.1,7.58
709,452.1,7.7
710,452.1,7.82
711,452.1,7.94
712,452.1,8.06
713,452.1,8.18
714,452.1,8.3
715,452.1,8.42
716,452.1,8.54
717,452.1,8.66
718,452.1,8.78
719,452.1,8.9
720,452.1,9.02
721,452.1,9.14
722,452.1,9.26
723,452.1,9.38
724,452.1,9.5
725,452.1,9.62
726,452.1,9.74
727,455.8,4.1
728,455.8,4.22
729,455.8,4.34
730,455.8,4.46
731,455.8,4.58
732,455.8,4.7
733,455.8,4.82
734,455.8,4.94
735,455.8,5.06
736,455.8,5.18
737,455.8,5.3
738,455.8,5.42
739,455.8,5.54
740,455.8,5.66
741,455.8,5.78
742,455.8,5.9
743,455.8,6.02
744,455.8,6.14
745,455.8,6.26
746,455.8,6.38
747,455.8,6.5
748,455.8,6.62
749,455.8,6.74
750,455.8,6.86
751,455.8,6.98
752,455.8,7.1
753,455.8,7.22
754,455.8,7.34
755,455.8,7.46
756,455.8,7.58
757,455.8,7.7
758,455.8,7.82
759,455.8,7.94
760,455.8,8.06
761,455.8,8.18
762,455.8,8.3
763,455.8,8.42
764,455.8,8.54
765,455.8,8.66
766,455.8,8.78
767,455.8,8.9
768,455.8,9.02
769,455.8,9.14
770,455.8,9.26
771,455.8,9.38
772,455.8,9.5
773,455.8,9.62
774,455.8,9.74
775,455.8,9.86
776,455.8,9.98
777,459.5,4.1
778,459.5,4.22
779,459.5,4.34
780,459.5,4.46
781,459.5,4.58
782,459.5,4.7
783,459.5,4.82
784,459.5,4.94
785,459.5,5.06
786,459.5,5.18
787,459.5,5.3
788,459.5,5.42
789,459.5,5.54
790,459.5,5.66
791,459.5,5.78
792,459.5,5.9
793,459.5,6.02
794,459.5,6.14
795,459.5,6.26
796,459.5,6.38
797,459.5,6.5
798,459.5,6.62
799,459.5,6.74
800,459.5,6.86
801,459.5,6.98
802,459.5,7.1
803,459.5,7.22
804,459.5,7.34
805,459.5,7.46
806,459.5,7.58
807,459.5,7.7
808,459.5,7.82
809,459.5,7.94
810,459.5,8.06
811,459.5,8.18
812,459.5,8.3
813,459.5,8.42
814,459.5,8.54
815,459.5,8.66
816,459.5,8.78
817,459.5,8.9
818,459.5,9.02
819,459.5,9.14
820,459.5,9.26
821,459.5,9.38
822,459.5,9.5
823,459.5,9.62
824,459.5,9.74
